title,cast
"A Pair of Silk Stockings","Harrison Ford"
"Orphans of the Storm","Joseph Schildkraut"
"Orphans of the Storm","Lucille La Verne"
"Orphans of the Storm","Frank Puglia"
"The Santa Fe Trail","Eugene Pallette"
"Just Imagine","Maureen O'Sullivan"
"Just Imagine","Hobart Bosworth"
"Just Imagine","Hobart Bosworth"
"An American Tragedy","Lucille La Verne"
"A Night at the Opera","Groucho Marx"
"A Night at the Opera","Chico Marx"
"A Night at the Opera","Harpo Marx"
"A Night at the Opera","Sig Ruman"
"A Night at the Opera","Margaret Dumont"
"Dodsworth","Walter Huston"
"Dodsworth","Gregory Gaye"
"Dodsworth","Spring Byington"
"The Day the Bookies Wept","Betty Grable"
"Drums Along the Mohawk","Henry Fonda"
"Ninotchka","Bela Lugosi"
"Ninotchka","Sig Ruman"
"Ninotchka","Felix Bressart"
"Ninotchka","Gregory Gaye"
"Ninotchka","Edwin Maxwell"
"The Shop Around the Corner","James Stewart"
"The Shop Around the Corner","Joseph Schildkraut"
"The Shop Around the Corner","Sara Haden"
"The Shop Around the Corner","Felix Bressart"
"The Shop Around the Corner","Edwin Maxwell"
"Brazza, or The Epic of the Congo","Robert Darène"
"Brazza, or The Epic of the Congo","Thomy Bourdelle"
"Brazza, or The Epic of the Congo","Odette Barencey"
"Brazza, or The Epic of the Congo","Jean Galland"
"Brazza, or The Epic of the Congo","Jean Daurand"
"Brazza, or The Epic of the Congo","Pierre Vernet"
"Brazza, or The Epic of the Congo","Jean Worms"
"Brazza, or The Epic of the Congo","René Fleur"
"Brazza, or The Epic of the Congo","René Navarre"
"Brazza, or The Epic of the Congo","Langlois"
"My Favorite Wife","Cary Grant"
"My Favorite Wife","Randolph Scott"
"My Favorite Wife","Donald MacBride"
"Santa Fe Trail","Errol Flynn"
"Santa Fe Trail","Olivia de Havilland"
"Santa Fe Trail","Raymond Massey"
"Santa Fe Trail","Guinn Big Boy Williams"
"The Lady Eve","Barbara Stanwyck"
"The Lady Eve","Henry Fonda"
"The Lady Eve","Eugene Pallette"
"Meet John Doe","Gary Cooper"
"Meet John Doe","Barbara Stanwyck"
"Meet John Doe","Edward Arnold"
"Meet John Doe","Walter Brennan"
"Meet John Doe","Spring Byington"
"Meet John Doe","Gene Lockhart"
"Topper Returns","Joan Blondell"
"Topper Returns","Billie Burke"
"Topper Returns","H.B. Warner"
"Topper Returns","George Zucco"
"Topper Returns","Donald MacBride"
"A Yank in the R.A.F.","Betty Grable"
"A Yank in the R.A.F.","Donald Stuart"
"All That Money Can Buy","Edward Arnold"
"All That Money Can Buy","Walter Huston"
"All That Money Can Buy","Gene Lockhart"
"All That Money Can Buy","H.B. Warner"
"They Died with Their Boots On","Errol Flynn"
"They Died with Their Boots On","Olivia de Havilland"
"They Died with Their Boots On","Gene Lockhart"
"They Died with Their Boots On","Anthony Quinn"
"They Died with Their Boots On","Walter Hampden"
"Reap the Wild Wind","Ray Milland"
"Reap the Wild Wind","John Wayne"
"Reap the Wild Wind","Raymond Massey"
"Reap the Wild Wind","Robert Preston"
"Reap the Wild Wind","Walter Hampden"
"Wake Island","Robert Preston"
"Phantom of the Opera","J. Edward Bromberg"
"Phantom of the Opera","Frank Puglia"
"The Spider Woman","Basil Rathbone"
"The Spider Woman","Nigel Bruce"
"The Spider Woman","Gale Sondergaard"
"The Spider Woman","Arthur Hohl"
"The Spider Woman","Donald Stuart"
"The Scarlet Claw","Basil Rathbone"
"The Scarlet Claw","Nigel Bruce"
"The Scarlet Claw","Arthur Hohl"
"The Scarlet Claw","Victoria Horne"
"Story of G.I. Joe","Burgess Meredith"
"Story of G.I. Joe","Bob Hope"
