title,genre
"Childish Quarrel","Documentary"
"Automated Hat-Maker and Sausage-Grinder","Comedy"
"A Story Well Spun","Comedy"
"National parade to celebrate the annexation of Congo to Belgium","Documentary"
"A Pair of Silk Stockings","Comedy"
"A Pair of Silk Stockings","Romance"
"Harakiri","Drama"
"The Jade Casket","Adventure"
"The Jade Casket","Mystery"
"Orphans of the Storm","Drama"
"Orphans of the Storm","History"
"Orphans of the Storm","Romance"
"The First Degree","Drama"
"The Thrill Seekers","Drama"
"Hara-Kiri","Drama"
"The Adventures of Dr. Dolittle: Tale 2 - Cannibal Land","Adventure"
"The Adventures of Dr. Dolittle: Tale 2 - Cannibal Land","Animation"
"The Adventures of Dr. Dolittle: Tale 2 - Cannibal Land","Comedy"
"The ingenuous libertine","Romance"
"The Santa Fe Trail","Western"
"Hell's Angels","Action"
"Hell's Angels","Drama"
"Hell's Angels","War"
"Just Imagine","Comedy"
"Just Imagine","Music"
"Just Imagine","Science Fiction"
"An American Tragedy","Crime"
"An American Tragedy","Drama"
"An American Tragedy","Romance"
"Boudu Saved from Drowning","Comedy"
"A Night at the Opera","Comedy"
"A Night at the Opera","Music"
"Dodsworth","Drama"
"Dodsworth","Romance"
"Robinson Crusoe of Clipper Island","Action"
"What Did the Lady Forget?","Comedy"
"What Did the Lady Forget?","Drama"
"A Girl with Character","Comedy"
"The Day the Bookies Wept","Comedy"
"Drums Along the Mohawk","Drama"
"Drums Along the Mohawk","History"
"Drums Along the Mohawk","War"
"Ninotchka","Comedy"
"Ninotchka","Romance"
"The Shop Around the Corner","Comedy"
"The Shop Around the Corner","Drama"
"The Shop Around the Corner","Romance"
"Brazza, or The Epic of the Congo","Adventure"
"My Favorite Wife","Comedy"
"My Favorite Wife","Romance"
"Santa Fe Trail","Western"
"The Lady Eve","Comedy"
"The Lady Eve","Romance"
"Meet John Doe","Comedy"
"Meet John Doe","Drama"
"Topper Returns","Comedy"
"Topper Returns","Fantasy"
"Topper Returns","Mystery"
"Topper Returns","Romance"
"A Yank in the R.A.F.","Action"
"A Yank in the R.A.F.","Romance"
"A Yank in the R.A.F.","War"
"All That Money Can Buy","Drama"
"All That Money Can Buy","Fantasy"
"They Died with Their Boots On","Drama"
"They Died with Their Boots On","Romance"
"They Died with Their Boots On","War"
"They Died with Their Boots On","Western"
"Reap the Wild Wind","Action"
"Reap the Wild Wind","Adventure"
"Reap the Wild Wind","Drama"
"Reap the Wild Wind","Romance"
"Wake Island","Action"
"Wake Island","Drama"
"Wake Island","War"
"Saludos Amigos","Adventure"
"Saludos Amigos","Animation"
"Saludos Amigos","Music"
"Spies","Animation"
"Spies","Comedy"
"Spies","War"
"Phantom of the Opera","Drama"
"Phantom of the Opera","Horror"
"Phantom of the Opera","Music"
"Phantom of the Opera","Romance"
"The Spider Woman","Crime"
"The Spider Woman","Mystery"
"The Spider Woman","Thriller"
"The Scarlet Claw","Crime"
"The Scarlet Claw","Mystery"
"The Scarlet Claw","Thriller"
"On Approval","Comedy"
"On Approval","Romance"
"The Thin Man Goes Home","Comedy"
"The Thin Man Goes Home","Mystery"
"Story of G.I. Joe","Drama"
"Story of G.I. Joe","War"
"Leave Her to Heaven","Drama"
"Leave Her to Heaven","Romance"
"Leave Her to Heaven","Thriller"
"A Night in Casablanca","Comedy"
"Cloak and Dagger","Drama"
"Cloak and Dagger","Thriller"
"Cloak and Dagger","War"
"My Favorite Brunette","Comedy"
"My Favorite Brunette","Mystery"
"My Favorite Brunette","Romance"
"My Favorite Brunette","Thriller"
"The Ghost and Mrs. Muir","Drama"
"The Ghost and Mrs. Muir","Fantasy"
"The Ghost and Mrs. Muir","Romance"
"Captain Boycott","Drama"
"Captain Boycott","History"
"The Big Clock","Crime"
"The Big Clock","Thriller"
"Planned Parenthood","Documentary"
"The Barkleys of Broadway","Comedy"
"The Barkleys of Broadway","Romance"
"The Third Man","Mystery"
"The Third Man","Thriller"
"The Great Rupert","Comedy"
"The Great Rupert","Family"
"Panic in the Streets","Crime"
"Panic in the Streets","Thriller"
"We're Getting Married","Comedy"
"Operation Pacific","Action"
"Operation Pacific","Drama"
"Operation Pacific","War"
"Diary of a Country Priest","Drama"
"The Damned Lovers","Crime"
"We're Not Married!","Comedy"
"We're Not Married!","Romance"
"The Duel at Silver Creek","Western"
"Lady Chatterley of Japan","Comedy"
"Alyosha Ptitsyn Develops Character","Family"
"The 5,000 Fingers of Dr. T.","Family"
"The 5,000 Fingers of Dr. T.","Fantasy"
"The 5,000 Fingers of Dr. T.","Music"
"Little Fugitive","Drama"
"Little Fugitive","Family"
"A Suspicious Character","Comedy"
"Seven Samurai","Action"
"Seven Samurai","Drama"
"The High and the Mighty","Action"
"The High and the Mighty","Adventure"
"The High and the Mighty","Drama"
"The High and the Mighty","Thriller"
"Le Rouge et le Noir","Drama"
"Rage at Dawn","Action"
"Rage at Dawn","Western"
"The Prisoner","Drama"
"The Trouble with Harry","Comedy"
"The Trouble with Harry","Mystery"
"The bravado of the Österman brothers","Comedy"
"1984","Drama"
"1984","Science Fiction"
"The Killing","Crime"
"The Killing","Thriller"
"Congo Crossing","Action"
"Congo Crossing","Adventure"
"Congo Crossing","Drama"
"Congo Crossing","Thriller"
"Earth vs. the Flying Saucers","Action"
"Earth vs. the Flying Saucers","Science Fiction"
"Death in the Garden","Adventure"
